expiry,instrument_key,trading_symbol,strike,option_type,lot_size,tick_size,underlying_key,weekly
2026-08-11,NSE_FO|40879|11-08-2026,NIFTY 21600 CE 11 AUG 26,21600.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,21600.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40885|11-08-2026,NIFTY 21650 CE 11 AUG 26,21650.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40886|11-08-2026,NIFTY 21650 PE 11 AUG 26,21650.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40889|11-08-2026,NIFTY 21700 CE 11 AUG 26,21700.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40890|11-08-2026,NIFTY 21700 PE 11 AUG 26,21700.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40891|11-08-2026,NIFTY 21750 CE 11 AUG 26,21750.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40892|11-08-2026,NIFTY 21750 PE 11 AUG 26,21750.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40893|11-08-2026,NIFTY 21800 CE 11 AUG 26,21800.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40894|11-08-2026,NIFTY 21800 PE 11 AUG 26,21800.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40897|11-08-2026,NIFTY 21850 CE 11 AUG 26,21850.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40902|11-08-2026,NIFTY 21850 PE 11 AUG 26,21850.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40903|11-08-2026,NIFTY 21900 CE 11 AUG 26,21900.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40904|11-08-2026,NIFTY 21900 PE 11 AUG 26,21900.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40905|11-08-2026,NIFTY 21950 CE 11 AUG 26,21950.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40906|11-08-2026,NIFTY 21950 PE 11 AUG 26,21950.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
